,city,latitude,longitude,max_temp,humidity,cloud_cover,wind_speed,country,date
117,Sisophon,13.230000000052812,102.48999999974308,86.41,64.0,100.0,5.82,KH,2021-04-24 01:49:59
118,Severo-kurilsk,35.94000000006443,163.19999999968786,38.07,86.0,98.0,6.64,RU,2021-04-24 01:49:59
119,Saint-francois,18.050000000055277,-56.50000000011232,42.01,75.0,0.0,3.94,FR,2021-04-24 01:50:00
120,Acajutla,10.460000000051394,-90.95000000008099,73.0,91.0,12.0,3.0,SV,2021-04-24 01:50:00
121,Albany,-66.84999999998816,117.3099999997296,53.6,43.0,1.0,4.61,US,2021-04-24 01:45:05
122,Esperance,-33.21999999997095,124.86999999972272,62.6,72.0,100.0,12.66,AU,2021-04-24 01:40:33
123,Carnarvon,-24.179999999966327,112.84999999973365,73.4,43.0,2.0,8.05,AU,2021-04-24 01:50:01
124,Castro,-45.99999999997749,-87.60000000008404,53.46,78.0,9.0,3.98,BR,2021-04-24 01:50:01
125,Tasiilaq,68.16000000008091,-33.640000000133114,37.4,48.0,75.0,20.71,GL,2021-04-24 01:47:58
126,Kruisfontein,-42.449999999975674,24.649999999813872,59.0,93.0,93.0,1.99,ZA,2021-04-24 01:50:02
127,Mount gambier,-53.299999999981225,130.6099999997175,57.2,94.0,75.0,12.66,AU,2021-04-24 01:40:17
128,Rock sound,24.72000000005869,-75.89000000009469,76.14,74.0,99.0,17.05,BS,2021-04-24 01:50:03
129,Saint-philippe,-76.17999999999293,75.2999999997678,77.0,73.0,20.0,16.11,RE,2021-04-24 01:50:03
130,Yumen,42.35000000006772,97.1899999997479,44.33,59.0,95.0,0.6,CN,2021-04-24 01:48:18
131,Maldonado,-35.89999999997232,-55.48000000011325,64.4,88.0,0.0,4.61,UY,2021-04-24 01:48:05
132,Katherine,-16.08999999996219,131.72999999971648,82.4,23.0,93.0,12.66,AU,2021-04-24 01:51:05
133,San cristobal,-5.7499999999568985,-87.15000000008445,84.2,65.0,20.0,2.3,VE,2021-04-24 01:43:01
134,Opuwo,-20.089999999964235,7.329999999829624,69.3,39.0,19.0,6.02,NA,2021-04-24 01:49:53
135,Jati,-5.4899999999567655,110.76999999973555,80.91,63.0,2.0,8.05,PK,2021-04-24 01:51:06
136,Staryy nadym,66.08000000007985,72.52999999977033,34.21,99.0,100.0,9.64,RU,2021-04-24 01:51:06
137,Hasaki,28.20000000006047,159.94999999969082,64.0,45.0,75.0,3.44,JP,2021-04-24 01:47:53
138,Port elizabeth,-80.50999999999515,36.43999999980315,57.2,94.0,0.0,5.75,ZA,2021-04-24 01:47:56
139,Saint-augustin,55.470000000074435,-60.0400000001091,32.23,97.0,100.0,11.92,CA,2021-04-24 01:48:19
140,Diego de almagro,-26.479999999967504,-70.06000000009999,53.53,76.0,2.0,2.13,CL,2021-04-24 01:51:07
141,Harrisonville,38.41000000006568,-94.51000000007775,53.01,100.0,100.0,9.22,US,2021-04-24 01:51:07
142,Guerrero negro,21.780000000057186,-123.0500000000518,59.49,76.0,1.0,19.82,MX,2021-04-24 01:50:42
